Cien. liet., lūdzu, ievadi A vērtību sekojošam vienādojumam: sin(x)=A
	x	y
    0.0000    1.0000
    0.1000    0.9975
    0.2000    0.9900
    0.3000    0.9777
    0.4000    0.9605
    0.5000    0.9388
    0.6000    0.9127
    0.7000    0.8824
    0.8000    0.8484
    0.9000    0.8108
    1.0000    0.7702
    1.1000    0.7268
    1.2000    0.6812
    1.3000    0.6337
    1.4000    0.5850
    1.5000    0.5354
    1.6000    0.4854
    1.7000    0.4356
    1.8000    0.3864
    1.9000    0.3384
    2.0000    0.2919
    2.1000    0.2476
    2.2000    0.2057
    2.3000    0.1669
    2.4000    0.1313
    2.5000    0.0994
    2.6000    0.0716
    2.7000    0.0480
    2.8000    0.0289
    2.9000    0.0145
    3.0000    0.0050
    3.1000    0.0004
    3.2000    0.0009
    3.3000    0.0063
    3.4000    0.0166
    3.5000    0.0318
    3.6000    0.0516
    3.7000    0.0759
    3.8000    0.1045
    3.9000    0.1370
    4.0000    0.1732
    4.1000    0.2126
    4.2000    0.2549
    4.3000    0.2996
    4.4000    0.3463
    4.5000    0.3946
    4.6000    0.4439
    4.7000    0.4938
    4.8000    0.5437
    4.9000    0.5933
    5.0000    0.6418
    5.1000    0.6890
    5.2000    0.7343
    5.3000    0.7772
    5.4000    0.8173
    5.5000    0.8543
    5.6000    0.8878
    5.7000    0.9174
    5.8000    0.9428
    5.9000    0.9637
    6.0000    0.9801
    6.1000    0.9916
    6.2000    0.9983
